,Original Query,Intermediate Query hi,Back Translated Query,Intent
14,i want to set up direct deposit to my first hawaiian bank account,मैं अपने पहले हवाईयन बैंक खाते में प्रत्यक्ष जमा स्थापित करना चाहता हूँ,I want to set up direct deposit into my First Hawaiian Bank account,direct_deposit
15,can you tell me how to set up a direct deposit,क्या आप मुझे बता सकते हैं कि प्रत्यक्ष जमा कैसे स्थापित किया जाए,Can you tell me how to set up direct deposit,direct_deposit
16,i'd like to know about setting up direct deposit,मैं प्रत्यक्ष जमा स्थापित करने के बारे में जानना चाहता हूँ,I'd like to know how to set up direct deposit,direct_deposit
17,tell me how to set up direct deposit,मुझे बताएं कि प्रत्यक्ष जमा कैसे सेट करें,Tell me how to set up direct deposit,direct_deposit
18,tell me how to set up direct deposit for my paycheck,मुझे बताएं कि मैं अपने वेतन के लिए सीधे जमा की व्यवस्था कैसे करूं?,Tell me how do I arrange for direct deposit for my salary?,direct_deposit
19,help setting up direct deposit,प्रत्यक्ष जमा स्थापित करने में सहायता करें,Help setting up direct deposit,direct_deposit
20,please help me set up direct deposit,कृपया मुझे प्रत्यक्ष जमा स्थापित करने में मदद करें,Please help me set up direct deposit,direct_deposit
21,how can i have my paycheck directly deposited,मैं अपना वेतन सीधे कैसे जमा करवा सकता हूँ?,How do I get my paycheck deposited directly?,direct_deposit
22,what do i do to have my paycheck deposited directly in my account,मैं अपना वेतन सीधे अपने खाते में जमा करवाने के लिए क्या करूँ?,What do I do to get my salary directly deposited into my account?,direct_deposit
23,how do i get direct deposit set up,मैं प्रत्यक्ष जमा व्यवस्था कैसे प्राप्त करूँ?,How do I get a direct deposit system?,direct_deposit
24,make it so my paycheck goes directly into my savings account,ऐसा करो कि मेरा वेतन सीधे मेरे बचत खाते में चला जाए,Make sure my salary goes directly to my savings account,direct_deposit
25,"i want to set up direct deposit for my paycheck, what do i need to do","मैं अपने वेतन के लिए सीधे जमा की व्यवस्था करना चाहता हूँ, मुझे क्या करना होगा?","I want to set up direct deposit for my paycheck, what do I need to do?",direct_deposit
26,what is needed for setting up direct deposit,प्रत्यक्ष जमा स्थापित करने के लिए क्या आवश्यक है,What is needed to set up direct deposit,direct_deposit
27,set up a direct deposit,प्रत्यक्ष जमा की व्यवस्था करें,Arrange for Direct Deposit,direct_deposit
28,tell me how to set up a direct deposit,मुझे बताएं कि प्रत्यक्ष जमा कैसे सेट करें,Tell me how to set up direct deposit,direct_deposit
29,how do i set up direct deposit for my paycheck,मैं अपने वेतन के लिए प्रत्यक्ष जमा कैसे सेट करूँ?,How do I set up direct deposit for my pay?,direct_deposit
30,i need some guidance when it comes to direct deposit,मुझे प्रत्यक्ष जमा के संबंध में कुछ मार्गदर्शन की आवश्यकता है,I need some guidance regarding direct deposit,direct_deposit
31,how do i set up instant paycheck,मैं तत्काल पेचेक कैसे सेट करूँ?,How do I set up instant paychecks?,direct_deposit
32,i'd really like to set up a direct deposit for my paycheck,मैं वास्तव में अपने वेतन के लिए प्रत्यक्ष जमा की व्यवस्था करना चाहता हूँ,I really want to set up direct deposit for my salary,direct_deposit
33,how do i set up direct deposit to my chase account,मैं अपने चेस खाते में सीधे जमा कैसे सेट करूँ?,How do I set up direct deposit into my Chase account?,direct_deposit
34,would you help me set up direct deposit,क्या आप मुझे प्रत्यक्ष जमा स्थापित करने में मदद करेंगे,Can you help me set up direct deposit?,direct_deposit
35,how do i arrange a direct deposit into my savings account,मैं अपने बचत खाते में सीधे जमा की व्यवस्था कैसे करूँ?,How do I set up direct deposit into my savings account?,direct_deposit
36,i need to set up a direct deposit for my paycheck,मुझे अपने वेतन के लिए प्रत्यक्ष जमा की व्यवस्था करनी है,I'd like to set up direct deposit for my paycheck,direct_deposit
37,i need to set up a direct deposit,मुझे प्रत्यक्ष जमा की व्यवस्था करनी है,I'd like to set up direct deposit,direct_deposit
38,how do i get my check directly deposited,मैं अपना चेक सीधे कैसे जमा करवा सकता हूँ?,How do I get my check direct deposited?,direct_deposit
39,how can i have my paycheck directly deposited in my account,मैं अपना वेतन सीधे अपने खाते में कैसे जमा करवा सकता हूँ?,How can I get my salary directly deposited into my account?,direct_deposit
40,how do i direct deposit my paycheck,मैं अपना वेतन सीधे कैसे जमा करूँ?,How do I get my pay direct deposited?,direct_deposit
41,is there a specific way to set up direct deposit,क्या प्रत्यक्ष जमा स्थापित करने का कोई विशिष्ट तरीका है,Is there a specific way to set up direct deposit,direct_deposit
42,set up direct deposit to my money market account for my pay check,मेरे वेतन चेक के लिए मेरे मनी मार्केट खाते में सीधे जमा की व्यवस्था करें,Arrange for my pay check to be directly deposited into my money market account,direct_deposit
43,can you tell me how to set up direct depost,क्या आप मुझे बता सकते हैं कि डायरेक्ट डिपो कैसे स्थापित किया जाए,can you please tell me how to setup direct depot,direct_deposit
44,can you show me how to set up direct deposit for my paycheck to my first hawaiian bank account,क्या आप मुझे बता सकते हैं कि मैं अपने वेतन को अपने पहले हवाईयन बैंक खाते में सीधे जमा करने की व्यवस्था कैसे कर सकता हूँ?,Can you tell me how I can arrange to have my pay deposited directly into my First Hawaiian bank account?,direct_deposit
45,how can i set up direct deposits from my job to my bank,मैं अपनी नौकरी से बैंक में सीधे जमा कैसे कर सकता हूँ?,How do I do direct deposit to bank from my job?,direct_deposit
46,i have a great western bank account i want direct deposits to go to,"मेरे पास ग्रेट वेस्टर्न बैंक में खाता है, मैं चाहता हूं कि सीधे जमा हो जाए","I have an account with Great Western Bank, I want direct deposit",direct_deposit
47,can you show me how to set up direct deposit,क्या आप मुझे बता सकते हैं कि प्रत्यक्ष जमा कैसे सेट किया जाता है,Can you tell me how to set up direct deposit,direct_deposit
48,do a websearch for direct deposit set up,प्रत्यक्ष जमा सेटअप के लिए वेबसर्च करें,Websearch for direct deposit setup,direct_deposit
49,what are the steps for setting up direct deposit,प्रत्यक्ष जमा स्थापित करने के लिए क्या कदम हैं,What are the steps to set up direct deposit,direct_deposit
50,what am i allowed to carry on for american airlines,अमेरिकन एयरलाइंस में मुझे क्या ले जाने की अनुमति है?,What am I allowed to carry on American Airlines?,carry_on
51,what are the carry on rules for united,यूनाइटेड के लिए कैरी ऑन नियम क्या हैं?,What are the carry on rules for United?,carry_on
52,what can't i carry-on to delta,मैं डेल्टा तक क्या नहीं ले जा सकता हूँ?,What can I not take to Delta?,carry_on
53,tell me united's carry on policy,मुझे यूनाइटेड की आगे की नीति बताओ,Tell me United's future policy,carry_on
54,what is the carry on limit,ले जाने की सीमा क्या है,What is the carry limit,carry_on
55,what should i know about the carry on policy for american,अमेरिकी नागरिकों के लिए कैरी ऑन पॉलिसी के बारे में मुझे क्या पता होना चाहिए?,What should I know about the carry on policy for US citizens?,carry_on
56,"if i fly internationally, do brittish airwaiys have carry-on limitations","अगर मैं अंतरराष्ट्रीय स्तर पर उड़ान भरता हूं, तो क्या ब्रिटिश एयरवेज में कैरी-ऑन सीमाएं हैं?","If I fly internationally, does British Airways have carry-on limits?",carry_on
57,what are the rules for carry on luggage for delta,डेल्टा के लिए सामान ले जाने के नियम क्या हैं?,What are the carry-on baggage rules for Delta?,carry_on
58,can i have 3 carry ons with delta at jfk,क्या मैं जेएफके में डेल्टा के साथ 3 कैरी ऑन ले सकता हूँ?,Can I take 3 carry ons with Delta at JFK?,carry_on
59,how many carry ons are allowed on a flight with wow to iceland,वाउ से आइसलैंड की उड़ान में कितने सामान ले जाने की अनुमति है?,How much carry-on baggage is allowed on Wau to Iceland flight?,carry_on
60,what are the requirements for carry on on flights with united airlines,यूनाइटेड एयरलाइंस के साथ उड़ानों पर कैरी ऑन के लिए क्या आवश्यकताएं हैं,What are the requirements for carry on on flights with United Airlines,carry_on
61,does delta allow more than one carry on when traveling to miami,क्या डेल्टा मियामी की यात्रा के दौरान एक से अधिक सामान ले जाने की अनुमति देता है?,Does Delta allow more than one carry-on baggage when traveling to Miami?,carry_on
62,could you list out the carry-on restrictions for american airlines,क्या आप अमेरिकी एयरलाइनों के लिए कैरी-ऑन प्रतिबंधों की सूची दे सकते हैं?,Can you list carry-on restrictions for US airlines?,carry_on
63,do i have to pay for carry-ons on delta,क्या मुझे डेल्टा पर कैरी-ऑन के लिए भुगतान करना होगा,Do I have to pay for a carry-on on Delta,carry_on
64,"if i take a flight on pan am to denver, how many carry ons are included","यदि मैं पैन एम से डेनवर तक उड़ान भरता हूं, तो कितने कैरी ऑन शामिल हैं?","If I fly Pan Am to Denver, how much carry on is included?",carry_on
65,how many bags can i carry-on for flights on singapore airlines,सिंगापुर एयरलाइंस की उड़ानों में मैं कितने बैग ले जा सकता हूँ?,How many bags can I carry on Singapore Airlines flights?,carry_on
66,how many carry ons can i take on a flight with american airlines to seattle,अमेरिकन एयरलाइंस से सिएटल की उड़ान में मैं कितने कैरी ऑन ले जा सकता हूँ?,How many carry ons can I take on an American Airlines to Seattle flight?,carry_on
67,"when taking a flight with porter to toronto, how many carry ons can i take","पोर्टर के साथ टोरंटो के लिए उड़ान भरते समय, मैं कितने कैरी ऑन ले जा सकता हूँ?","When flying to Toronto with Porter, how many carry ons can I take?",carry_on
68,"on a flight with allegiant to orlando, how many carry ons can i take",एलीगेंट के साथ ऑरलैंडो की उड़ान में मैं कितने कैरी ऑन ले जा सकता हूँ?,How many carry ons can I take on a flight to Orlando with Allegiant?,carry_on
69,would you let me know the carry-on restrictions for american airlines,क्या आप मुझे अमेरिकन एयरलाइंस के लिए कैरी-ऑन प्रतिबंधों के बारे में बताएंगे?,Would you like to tell me about the carry-on restrictions for American Airlines?,carry_on
70,how many carry ons can i take on a flight with delta to mexico city,डेल्टा से मैक्सिको सिटी की उड़ान में मैं कितने कैरी ऑन ले जा सकता हूँ?,How many carry ons can I take on a Delta to Mexico City flight?,carry_on
71,what are the carry-on rules,कैरी-ऑन नियम क्या हैं,What are the carry-on rules?,carry_on
72,"when taking a flight with lion to singapore, how many carry ons are allowed","सिंगापुर के लिए लायन से उड़ान भरते समय, कितने सामान ले जाने की अनुमति है?",How much carry-on baggage is allowed when flying with Lion to Singapore?,carry_on
73,what are the rules regarding carry-on baggage for flights on virgin airlines,वर्जिन एयरलाइंस पर उड़ानों के लिए कैरी-ऑन बैगेज के संबंध में क्या नियम हैं?,What are the rules regarding carry-on baggage for flights on Virgin Airlines?,carry_on
74,what's restricted in my carry-on with united,यूनाइटेड के साथ मेरे कैरी-ऑन में क्या प्रतिबंधित है,What's prohibited in my carry-on with United,carry_on
75,does jet blue have any carry-on restrictions,क्या जेट ब्लू पर कोई कैरी-ऑन प्रतिबंध है,Are there any carry-on restrictions on Jet Blue,carry_on
76,i need to know the carry-on restrictions for united airlines,मुझे यूनाइटेड एयरलाइंस के लिए कैरी-ऑन प्रतिबंधों के बारे में जानना है,I would like to know about carry-on restrictions for United Airlines,carry_on
77,how many carry ons will american let me take for a flight to los vegas,लॉस वेगास की उड़ान के लिए अमेरिकी मुझे कितने कैरी ऑन ले जाने देंगे?,How many carry ons will American let me take for a flight to Las Vegas?,carry_on
78,does delta have carry-on restrictions,क्या डेल्टा में कैरी-ऑन प्रतिबंध हैं,Does Delta have carry-on restrictions,carry_on
79,how many carry ons can i take on a flight with jet blue to washington dc,जेट ब्लू से वाशिंगटन डीसी की उड़ान में मैं कितने कैरी ऑन ले जा सकता हूँ?,How many carry ons can I take on a Jet Blue to Washington DC flight?,carry_on
80,what are the carry-on restrictions for singapore airlines,सिंगापुर एयरलाइंस के लिए कैरी-ऑन प्रतिबंध क्या हैं?,What are the carry-on restrictions for Singapore Airlines?,carry_on
81,tell me the carry on rules,मुझे आगे बढ़ने के नियम बताओ,Tell me the rules to proceed,carry_on
82,i am flying jetblue and need to know what the most number of bags are that i can carry on,मैं जेटब्लू से उड़ान भर रहा हूं और मुझे यह जानना है कि मैं अधिकतम कितने बैग ले जा सकता हूं,I'm flying JetBlue and need to know the maximum number of bags I can carry,carry_on
83,am i limited in carry ons for jet blue,क्या जेट ब्लू के लिए मेरे पास सीमित सामान है?,Do I have a carry on baggage limit for Jet Blue?,carry_on
84,am i allowed carry ons for my flight with westjet to edmonton,क्या मुझे वेस्टजेट से एडमॉन्टन की उड़ान के लिए कैरी-ऑन ले जाने की अनुमति है?,Am I allowed to bring a carry-on on my WestJet to Edmonton flight?,carry_on
85,what are the carry-on restrictions for united,यूनाइटेड के लिए कैरी-ऑन प्रतिबंध क्या हैं?,What are the carry-on restrictions for United?,carry_on
86,does united airlines allow more than one carry on,क्या यूनाइटेड एयरलाइंस एक से अधिक कैरी ऑन की अनुमति देती है,Does United Airlines allow more than one carry on,carry_on
87,what are the carry-on restrictions for delta,डेल्टा के लिए कैरी-ऑन प्रतिबंध क्या हैं,What are the carry-on restrictions for Delta,carry_on
88,would you let me know how many carry ons i can take on a flight with southwest airlines to miami,क्या आप मुझे बता सकते हैं कि मैं साउथवेस्ट एयरलाइंस के साथ मियामी की उड़ान में कितने सामान ले जा सकता हूँ?,Can you tell me how much carry-on luggage I can carry on a flight to Miami with Southwest Airlines?,carry_on
89,is there a carry on weight limit,क्या वजन ले जाने की कोई सीमा है,Is there a weight limit,carry_on
90,please find the rules for carry on when flying with spirit airlines,कृपया स्पिरिट एयरलाइंस के साथ उड़ान भरते समय कैरी ऑन के नियम देखें,Please see the carry on rules when flying with Spirit Airlines,carry_on
91,what are the carry-on restrictions for southwest airlines,साउथवेस्ट एयरलाइंस के लिए कैरी-ऑन प्रतिबंध क्या हैं,What are the carry-on restrictions for Southwest Airlines,carry_on
92,how my carry ons does spirit airlines allow me for a flight to dallas,स्पिरिट एयरलाइंस मुझे डलास की उड़ान के लिए क्या सामान ले जाने की अनुमति देती है?,What carry-on luggage does Spirit Airlines allow me to carry on my flight to Dallas?,carry_on
93,can you tell me jet blue airlines' carry on policy,क्या आप मुझे जेट ब्लू एयरलाइंस की कैरी ऑन पॉलिसी बता सकते हैं?,Can you tell me the carry on policy of Jet Blue Airlines?,carry_on
94,what is the carry-on policy say for flights on delta airlines,डेल्टा एयरलाइंस की उड़ानों के लिए कैरी-ऑन नीति क्या कहती है,What the carry-on policy says for Delta Airlines flights,carry_on
95,search for carry on rules for flights on delta airlines,डेल्टा एयरलाइंस की उड़ानों के लिए कैरी ऑन नियमों की खोज करें,Discover carry-on rules for Delta Airlines flights,carry_on
96,carry-on restrictions for air emirates,हवाई अमीरात के लिए कैरी-ऑन प्रतिबंध,Carry-on Restrictions for Hawaii Emirates,carry_on
97,which rules does delta have for carry on,डेल्टा के पास कैरी ऑन के लिए कौन से नियम हैं,What rules does Delta have for carry ons,carry_on
98,tell me the carry-on restrictions for united airlines,मुझे यूनाइटेड एयरलाइंस के लिए कैरी-ऑन प्रतिबंध बताएं,Tell me the carry-on restrictions for United Airlines,carry_on
99,let me know the rules for carry ons for continental,मुझे महाद्वीपीय के लिए कैरी ऑन के नियम बताएं,Tell me the carry on rules for continental,carry_on
100,volume to whisper voice,आवाज़ का वॉल्यूम फुसफुसाना,whisper volume,whisper_mode
101,i want whisper mode to be switched off,मैं चाहता हूं कि व्हिस्पर मोड बंद कर दिया जाए,I want whisper mode to be turned off,whisper_mode
102,let's switch out of whisper mode,चलो कानाफूसी मोड से बाहर निकलें,Let's get out of whisper mode,whisper_mode
103,i want your setting adjusted to whisper voice now,मैं चाहता हूँ कि आपकी सेटिंग अब फुसफुसाती आवाज़ में समायोजित हो जाए,I want your settings to be adjusted to a whisper now,whisper_mode
104,go into whisper mode now please,अब कृपया कानाफूसी मोड में चले जाओ,now please go into whisper mode,whisper_mode
105,turn up your volume,अपना वॉल्यूम बढ़ाओ,turn up your volume,whisper_mode
106,exit out of whisper mode,कानाफूसी मोड से बाहर निकलें,Exit Whisper Mode,whisper_mode
107,go back to normal mode please,कृपया सामान्य मोड पर वापस जाएँ,Please switch back to normal mode,whisper_mode
108,immediately begin using whisper mode,तुरंत व्हिस्पर मोड का उपयोग शुरू करें,Start using Whisper Mode instantly,whisper_mode
109,switch over to whisper,कानाफूसी पर स्विच करें,Switch to Whisper,whisper_mode
110,i think we should whisper,मुझे लगता है हमें फुसफुसाना चाहिए,I think we should whisper,whisper_mode
111,turn on the whisper voice,फुसफुसाहट की आवाज़ चालू करें,turn on whisper sound,whisper_mode
112,i'm going to need you to be quiet now please,"मैं चाहता हूँ कि आप अब चुप हो जाएँ, कृपया","I want you to shut up now, please",whisper_mode
113,switch to quiet mode,शांत मोड पर स्विच करें,Switch to Quiet Mode,whisper_mode
114,please turn on whisper mode because i am about to be in class,कृपया व्हिस्पर मोड चालू करें क्योंकि मैं कक्षा में जाने वाला हूँ,Please turn on whisper mode as I'm about to go to class,whisper_mode
115,i want whisper mode,मुझे व्हिस्पर मोड चाहिए,I want whisper mode,whisper_mode
116,"change to whisper mode, please",कृपया इसे कानाफूसी मोड में बदलें,please change it to whisper mode,whisper_mode
117,go into whisper mode now,अब कानाफूसी मोड में जाओ,Now go into whisper mode,whisper_mode
118,turn your volume up,अपना वॉल्यूम बढ़ाओ,turn up your volume,whisper_mode
119,"i can't hear you, stop whispering!","मैं तुम्हें सुन नहीं पा रहा, फुसफुसाना बंद करो!","I can't hear you, stop whispering!",whisper_mode
120,shh please speak with a whisper,शश कृपया फुसफुसाकर बोलो,shh please whisper,whisper_mode
121,can you whisper until i tell you not to,क्या तुम तब तक फुसफुसा सकते हो जब तक मैं तुम्हें न कहूँ,can you whisper until i tell you to,whisper_mode
122,i need you to switch to whisper mode,मुझे आपसे कानाफूसी मोड पर स्विच करने की आवश्यकता है,I need you to switch to whisper mode,whisper_mode
123,please turn on whisper mode,कृपया व्हिस्पर मोड चालू करें,please turn on whisper mode,whisper_mode
124,can you go to the whisper voice,क्या आप कानाफूसी वाली आवाज़ में जा सकते हैं,can you go in a whisper voice,whisper_mode
125,i need your setting switched to whisper mode right away,मुझे आपकी सेटिंग को तुरंत व्हिस्पर मोड में बदलने की आवश्यकता है,I need you to change your settings to whisper mode immediately,whisper_mode
126,stop using the whisper mode,व्हिस्पर मोड का उपयोग बंद करें,Stop using Whisper Mode,whisper_mode
127,please talk quietly,कृपया शांति से बात करें,please talk calmly,whisper_mode
128,use your quiet voice,अपनी शांत आवाज़ का प्रयोग करें,Use your calm voice,whisper_mode
129,whisper from here on out please,कृपया यहाँ से धीरे से बोलो,please speak softly here,whisper_mode
130,switch to whisper mode,कानाफूसी मोड पर स्विच करें,Switch to whisper mode,whisper_mode
131,turn on your whisper mode,अपना व्हिस्पर मोड चालू करें,Turn on your whisper mode,whisper_mode
132,please shut off whisper mode for now,कृपया अभी के लिए व्हिस्पर मोड बंद कर दें,Please turn off whisper mode for now,whisper_mode
133,can you please lower the volume please,क्या आप कृपया आवाज़ कम कर सकते हैं,can you turn down the volume please,whisper_mode
134,"switch to whisper mode, please",कृपया कानाफूसी मोड पर स्विच करें,Please switch to whisper mode,whisper_mode
135,i want to switch out of whisper mode,मैं कानाफूसी मोड से बाहर निकलना चाहता हूँ,I want out of whisper mode,whisper_mode
136,i want you to be in whisper mode now because i am in the library,मैं चाहता हूँ कि अब आप कानाफूसी मोड में रहें क्योंकि मैं लाइब्रेरी में हूँ,I want you to be in whisper mode now because I'm in the library,whisper_mode
137,change out of whisper mode,कानाफूसी मोड से बाहर निकलें,Exit Whisper Mode,whisper_mode
138,whisper from now on,अब से कानाफूसी करो,Whisper from now on,whisper_mode
139,please speak with the whisper voice,कृपया फुसफुसाती आवाज़ में बोलें,please speak in a whisper,whisper_mode
140,start using whisper mode,व्हिस्पर मोड का उपयोग शुरू करें,Start using Whisper Mode,whisper_mode
141,please switch to whisper mode for now,कृपया अभी व्हिस्पर मोड पर स्विच करें,Please switch to whisper mode now,whisper_mode
142,let's use whisper voice,चलो फुसफुसाती आवाज़ का उपयोग करें,let's use a whispering voice,whisper_mode
143,6 inch voices please,6 इंच की आवाज कृपया,6 inch sound please,whisper_mode
144,talk in whisper voice,फुसफुसाहट की आवाज़ में बात करें,talk in a whispering voice,whisper_mode
145,i decide to switch out of whisper mode,मैंने कानाफूसी मोड से बाहर निकलने का फैसला किया,I decided to get out of whisper mode,whisper_mode
146,let's start whispering,चलो कानाफूसी शुरू करें,let the whispering begin,whisper_mode
147,can you switch to whisper mode,क्या आप व्हिस्पर मोड पर स्विच कर सकते हैं,can you switch to whisper mode,whisper_mode
148,make sure to set yourself to whisper mode before i go to the movie,फिल्म देखने जाने से पहले अपने आप को व्हिस्पर मोड पर सेट करना सुनिश्चित करें,Make sure to set yourself on whisper mode before you go to watch the movie,whisper_mode
149,i want you to use whisper voice now,मैं चाहता हूँ कि आप अब कानाफूसी वाली आवाज़ का उपयोग करें,I want you to use a whispering voice now,whisper_mode
150,please send a text,कृपया एक पाठ भेजें,please send a text,text
151,write text message to someone,किसी को पाठ संदेश लिखें,Write a text message to someone,text
152,send mom a text asking where are you,माँ को संदेश भेजकर पूछो कि तुम कहाँ हो,send a message to mom asking where you are,text
153,text message chris and say i love you,क्रिस को संदेश भेजो और कहो मैं तुमसे प्यार करता हूँ,send a message to chris and say i love you,text
154,send a text to someone,किसी को संदेश भेजें,Send a message to someone,text
155,can you text arthur and tell them im almost there,क्या आप आर्थर को मैसेज कर बता सकते हैं कि मैं लगभग वहां पहुंच गया हूं?,Can you message Arthur to let him know I'm almost there?,text
156,text billy and tell him to be at monday's meeting at 3pm,बिली को मैसेज करें और उसे सोमवार दोपहर 3 बजे की मीटिंग में आने को कहें,Message Billy and tell him to come to the meeting on Monday at 3pm,text
157,can you text christopher and tell them im on my way,क्या आप क्रिस्टोफर को मैसेज कर बता सकते हैं कि मैं आ रहा हूँ,Can you message Christopher to let him know I'm coming,text
158,send a text message for me,मेरे लिए एक पाठ संदेश भेजें,send me a text message,text
159,please send ann a text and tell her i will be home in 20 minutes,कृपया एन को एक संदेश भेजें और उसे बताएं कि मैं 20 मिनट में घर आ जाऊंगा,Please send a message to Ann and tell her I will be home in 20 minutes,text
160,please send a text message to natalie for me,कृपया मेरे लिए नेटली को एक टेक्स्ट संदेश भेजें,Please send Natalie a text message for me,text
161,i want to send a text,मैं एक पाठ भेजना चाहता हूँ,I'd like to send a text,text
162,text matt and tell him i will be late tonight,मैट को मैसेज करो और उसे बताओ कि मैं आज रात देर से आऊँगा,Text Matt and tell him I'll be in late tonight,text
163,text my boss for me and tell them i will be a little bit late,मेरे बॉस को मैसेज भेजकर बता दो कि मैं थोड़ा देर से आऊंगा,Please send a message to my boss and tell him that I will be arriving a little late,text
164,send chris a text message that says stop for milk on your way home,क्रिस को एक टेक्स्ट संदेश भेजें जिसमें लिखा हो कि घर जाते समय दूध के लिए रुकें,Send Chris a text message saying stop for milk on your way home,text
165,i have to send a text,मुझे एक संदेश भेजना है,I want to send a message,text
166,text my dad for me and tell them i love you,मेरे लिए मेरे पिताजी को संदेश भेजें और उन्हें बताएं कि मैं आपसे प्यार करता हूँ,Send a message to my dad for me and tell him I love you,text
167,text josh and tell him i need a delivery,जोश को मैसेज करो और उसे बताओ कि मुझे डिलीवरी चाहिए,Text Josh and tell him I need a delivery,text
168,send a text and tell chris i’m not working today,एक संदेश भेजकर क्रिस को बताएँ कि मैं आज काम नहीं कर रहा हूँ,Send a message to tell Chris I'm not working today,text
169,can you send a text for me,क्या आप मेरे लिए एक संदेश भेज सकते हैं,can you send me a message,text
170,text my friend for me and tell them to meet me later,मेरे दोस्त को मेरे लिए संदेश भेजें और उन्हें बाद में मुझसे मिलने के लिए कहें,Send a message to my friend for me and tell them to meet me later,text
171,text christopher and tell him i will stop by,क्रिस्टोफर को मैसेज करो और उसे बताओ कि मैं आऊंगा,Text Christopher and tell him I'll come by,text
172,can you text the sgt adam and tell them i found the missing girl,क्या आप सार्जेंट एडम को मैसेज कर सकते हैं और उन्हें बता सकते हैं कि मैंने लापता लड़की को ढूंढ लिया है?,Can you message Sergeant Adam and tell him I found the missing girl?,text
173,text a message to alice,ऐलिस को संदेश भेजें,Send a message to Alice,text
174,i need you to text someone for me,मुझे किसी को मैसेज भेजने की जरूरत है,I need to send a message to someone,text
175,i need sal to be texted and say i'll be there,मुझे चाहिए कि सैल को मैसेज किया जाए और कहा जाए कि मैं वहां आऊंगा,I need to message Sal and tell him I'll be there,text
176,send a text message to chris and ask what he wants to eat for dinner,क्रिस को एक टेक्स्ट संदेश भेजें और पूछें कि वह रात के खाने में क्या खाना चाहता है,Send Chris a text message and ask what he wants to have for dinner,text
177,send a text message,पाठ संदेश भेजें,send a text message,text
178,text sal and tell them hi,उन्हें संदेश भेजें और नमस्ते कहें,send them a message and say hi,text
179,text sal and let them know the answer is yes,sal को संदेश भेजें और उन्हें बताएं कि उत्तर हाँ है,send a message to sal and tell them the answer is yes,text
180,compose text message,पाठ संदेश लिखें,Write a text message,text
181,text my doctor and tell him it happened again,अपने डॉक्टर को मैसेज करें और उन्हें बताएं कि यह फिर से हुआ है,Text your doctor and let them know it happened again,text
182,write a text to alice,ऐलिस को एक संदेश लिखें,Write a message to Alice,text
183,can you send a text to someone,क्या आप किसी को संदेश भेज सकते हैं,can you send a message to someone,text
184,let sal know by text i will be attending,सल को मैसेज करके बता देना कि मैं आऊंगा,Message Sal and let him know I'll be coming,text
185,start a new text to maureen and tell her i go mom's christmas present,मॉरीन को एक नया संदेश भेजें और उसे बताएं कि मैं माँ का क्रिसमस उपहार लेकर जा रहा हूँ,Send Maureen a new message and tell her I'm picking up Mom's Christmas present,text
186,create a new text,नया पाठ बनाएं,Create new text,text
